,DenStream,DBSTREAM,CEDAS,SOSTream,MacroSOStream,MCMSTStream,MicroTEDAClus,AutoCloud,OEC,eSBM4Clus
S1,0.6652,0.7866,0.3858,0.7124,0.14,0.14,0.9884,0.992,0.9946,0.9946
S2,0.6878,0.7646,0.332,0.1398,0.2664,0.14,0.9536,0.9578,0.9646,0.956
S3,0.7914,0.7372,0.3398,0.14,0.14,0.14,0.83,0.3666,0.8386,0.695
S4,0.5628,0.6742,0.3148,0.0976,0.1388,0.1856,0.728,0.4142,0.8056,0.521
Ca,0.99125,0.79425,0.8,0.4065,0.666,0.578,0.97625,0.95725,1.0,1.0
DS3,0.6436819531507754,0.6697459584295612,0.7294622236885516,0.5486638073243154,0.4698119432530518,0.2989112504124051,0.9742659188386671,0.9712966017815903,0.7581656219069614,0.9894424282415044
DS4,0.689141513132105,0.791062328498628,0.6895335162681302,0.23951391611132888,0.3923951391611133,0.48725989807918463,0.7404939239513916,0.3927871422971384,0.6330850646805174,0.8725989807918463
DS3wN,0.56,0.6952,0.5591,0.2869,0.3455,0.4714,0.8358,0.9105,0.7833,0.7153
DS4wN,0.756875,0.734875,0.43525,0.301625,0.363,0.284625,0.858375,0.363375,0.9065,0.9565
DIM32,0.625,1.0,1.0,0.888671875,1.0,0.4375,1.0,1.0,0.236328125,1.0
DIM64,0.5625,1.0,1.0,0.880859375,0.3125,0.0625,1.0,1.0,0.0625,1.0
DIM128,0.5,1.0,1.0,0.8623046875,1.0,0.0625,1.0,1.0,0.0625,1.0
DIM256,0.5,1.0,1.0,0.8701171875,1.0,0.0625,1.0,1.0,0.0625,1.0
DIM512,0.5625,1.0,1.0,0.849609375,1.0,0.0625,1.0,1.0,0.0625,0.998046875
DIM1024,0.5,1.0,1.0,0.849609375,1.0,0.0625,1.0,1.0,0.0625,0.9619140625
